timestamp,heart rate,temperature,enhanced altitude
2024-08-02T15:00:08.000Z,84,32,221.6
2024-08-02T15:00:09.000Z,83,32,221.6
2024-08-02T15:00:10.000Z,85,32,221.6
2024-08-02T15:00:11.000Z,87,32,221.6
2024-08-02T15:00:12.000Z,88,32,221.6
2024-08-02T15:00:13.000Z,87,32,221.6
2024-08-02T15:00:14.000Z,87,32,221.6
2024-08-02T15:00:15.000Z,88,32,221.6
2024-08-02T15:00:16.000Z,88,32,221.6
2024-08-02T15:00:17.000Z,88,32,221.6
2024-08-02T15:00:18.000Z,89,32,221.6
2024-08-02T15:00:19.000Z,89,32,221.6
2024-08-02T15:00:20.000Z,88,32,221.6
2024-08-02T15:00:21.000Z,87,32,221.6
2024-08-02T15:00:22.000Z,86,32,221.6
2024-08-02T15:00:23.000Z,87,32,221.6
2024-08-02T15:00:24.000Z,89,32,221.6
2024-08-02T15:00:25.000Z,89,32,221.6
2024-08-02T15:00:26.000Z,87,32,221.6
2024-08-02T15:00:27.000Z,87,32,221.6
2024-08-02T15:00:28.000Z,87,32,221.6
2024-08-02T15:00:29.000Z,88,32,221.6
2024-08-02T15:00:30.000Z,89,32,221.6
2024-08-02T15:00:31.000Z,88,32,221.6
2024-08-02T15:00:32.000Z,88,32,221.6
2024-08-02T15:00:33.000Z,88,32,221.6
2024-08-02T15:00:34.000Z,87,32,221.6
2024-08-02T15:00:35.000Z,88,32,221.6
2024-08-02T15:00:36.000Z,87,32,221.6
2024-08-02T15:00:37.000Z,85,32,221.6
2024-08-02T15:00:38.000Z,87,32,221.6
2024-08-02T15:00:39.000Z,86,32,221.6
2024-08-02T15:00:40.000Z,84,32,221.6
2024-08-02T15:00:41.000Z,86,32,221.6
2024-08-02T15:00:42.000Z,84,32,221.6
2024-08-02T15:00:43.000Z,85,32,221.6
2024-08-02T15:00:44.000Z,86,32,221.6
2024-08-02T15:00:45.000Z,87,32,221.6
2024-08-02T15:00:46.000Z,86,32,221.6
2024-08-02T15:00:47.000Z,86,32,221.6
2024-08-02T15:00:48.000Z,88,32,221.6
2024-08-02T15:00:49.000Z,88,32,221.6
2024-08-02T15:00:50.000Z,89,32,221.6
2024-08-02T15:00:51.000Z,90,32,221.6
2024-08-02T15:00:52.000Z,92,32,221.6
2024-08-02T15:00:53.000Z,93,32,221.6
2024-08-02T15:00:54.000Z,96,32,221.6
2024-08-02T15:00:55.000Z,97,32,221.6
2024-08-02T15:00:56.000Z,99,32,221.6
2024-08-02T15:00:57.000Z,99,32,221.6
2024-08-02T15:00:58.000Z,99,32,221.6
2024-08-02T15:00:59.000Z,98,32,221.6
2024-08-02T15:01:00.000Z,98,32,221.6
2024-08-02T15:01:01.000Z,100,32,221.6
2024-08-02T15:01:02.000Z,100,31,221.6
2024-08-02T15:01:03.000Z,99,32,221.6
2024-08-02T15:01:04.000Z,98,32,221.6
2024-08-02T15:01:05.000Z,98,32,221.6
2024-08-02T15:01:06.000Z,97,32,221.6
2024-08-02T15:01:07.000Z,97,32,221.6
2024-08-02T15:01:08.000Z,101,32,221.6
2024-08-02T15:01:09.000Z,100,32,221.6
2024-08-02T15:01:10.000Z,99,32,221.6
2024-08-02T15:01:11.000Z,99,32,221.6
