timestamp,heart rate,temperature,vertical speed,enhanced altitude
2024-08-12T14:59:54.000Z,94,31,0.000,221.6
2024-08-12T14:59:55.000Z,,31,0.000,221.6
2024-08-12T14:59:56.000Z,94,31,0.000,221.6
2024-08-12T14:59:57.000Z,,31,0.000,221.6
2024-08-12T14:59:58.000Z,95,31,0.000,221.6
2024-08-12T14:59:59.000Z,,31,0.000,221.6
2024-08-12T15:00:00.000Z,96,31,0.000,221.6
2024-08-12T15:00:01.000Z,,31,0.000,221.6
2024-08-12T15:00:02.000Z,98,31,0.000,221.6
2024-08-12T15:00:03.000Z,,31,0.000,221.6
2024-08-12T15:00:04.000Z,99,31,0.000,221.6
2024-08-12T15:00:05.000Z,,31,0.000,221.6
2024-08-12T15:00:06.000Z,100,31,0.000,221.6
2024-08-12T15:00:07.000Z,,31,0.000,221.6
2024-08-12T15:00:08.000Z,100,31,0.000,221.6
2024-08-12T15:00:09.000Z,,31,0.000,221.6
2024-08-12T15:00:10.000Z,99,31,0.000,221.6
2024-08-12T15:00:11.000Z,,31,0.000,221.6
2024-08-12T15:00:12.000Z,100,31,0.000,221.6
2024-08-12T15:00:13.000Z,,31,0.000,221.6
2024-08-12T15:00:14.000Z,99,31,0.000,221.6
2024-08-12T15:00:15.000Z,,31,0.000,221.6
2024-08-12T15:00:16.000Z,98,31,0.000,221.6
2024-08-12T15:00:17.000Z,,31,0.000,221.6
2024-08-12T15:00:18.000Z,97,31,0.000,221.6
2024-08-12T15:00:19.000Z,,31,0.000,221.6
2024-08-12T15:00:20.000Z,97,31,0.000,221.6
2024-08-12T15:00:21.000Z,,31,0.000,221.6
2024-08-12T15:00:22.000Z,98,31,0.000,221.6
2024-08-12T15:00:23.000Z,,31,0.000,221.6
2024-08-12T15:00:24.000Z,99,31,0.000,221.6
2024-08-12T15:00:25.000Z,,31,0.000,221.6
2024-08-12T15:00:26.000Z,99,31,0.000,221.6
2024-08-12T15:00:27.000Z,,31,0.000,221.6
2024-08-12T15:00:28.000Z,97,31,0.000,221.6
2024-08-12T15:00:29.000Z,,31,0.000,221.6
2024-08-12T15:00:30.000Z,96,31,0.000,221.6
2024-08-12T15:00:31.000Z,,31,0.000,221.6
2024-08-12T15:00:32.000Z,94,31,0.000,221.6
2024-08-12T15:00:33.000Z,,31,0.000,221.6
2024-08-12T15:00:34.000Z,95,31,0.000,221.6
2024-08-12T15:00:35.000Z,,31,0.000,221.6
2024-08-12T15:00:36.000Z,95,31,0.000,221.6
2024-08-12T15:00:37.000Z,,31,0.000,221.6
2024-08-12T15:00:38.000Z,95,31,0.000,221.6
2024-08-12T15:00:39.000Z,,31,0.000,221.6
2024-08-12T15:00:40.000Z,94,31,0.000,221.6
2024-08-12T15:00:41.000Z,,31,0.000,221.6
2024-08-12T15:00:42.000Z,94,31,0.000,221.6
2024-08-12T15:00:43.000Z,,31,0.000,221.6
2024-08-12T15:00:44.000Z,93,31,0.000,221.6
2024-08-12T15:00:45.000Z,,31,0.000,221.6
2024-08-12T15:00:46.000Z,92,31,0.000,221.6
2024-08-12T15:00:47.000Z,,31,0.000,221.6
2024-08-12T15:00:48.000Z,91,31,0.000,221.6
2024-08-12T15:00:49.000Z,,31,0.000,221.6
2024-08-12T15:00:50.000Z,90,31,0.000,221.6
2024-08-12T15:00:51.000Z,,31,0.000,221.6
2024-08-12T15:00:52.000Z,88,31,0.000,221.6
2024-08-12T15:00:53.000Z,,31,0.000,221.6
2024-08-12T15:00:54.000Z,87,31,0.000,221.6
2024-08-12T15:00:55.000Z,,31,0.000,221.6
2024-08-12T15:00:56.000Z,87,31,0.000,221.6
2024-08-12T15:00:57.000Z,,31,0.000,221.6
2024-08-12T15:00:58.000Z,86,31,0.000,221.6
2024-08-12T15:00:59.000Z,,31,0.000,221.6
2024-08-12T15:01:00.000Z,87,31,0.000,221.6
2024-08-12T15:01:01.000Z,,31,0.000,221.6
2024-08-12T15:01:02.000Z,88,31,0.000,221.6
2024-08-12T15:01:03.000Z,,31,0.000,221.6
2024-08-12T15:01:04.000Z,89,31,0.000,221.6
2024-08-12T15:01:05.000Z,,31,0.000,221.6
2024-08-12T15:01:06.000Z,90,31,0.000,221.6
2024-08-12T15:01:07.000Z,,31,0.000,221.6
2024-08-12T15:01:08.000Z,90,31,0.000,221.6
2024-08-12T15:01:09.000Z,,31,0.000,221.6
2024-08-12T15:01:10.000Z,90,31,0.000,221.6
2024-08-12T15:01:11.000Z,,31,0.000,221.6
2024-08-12T15:01:12.000Z,88,31,0.000,221.6
2024-08-12T15:01:13.000Z,,31,0.000,221.6
2024-08-12T15:01:14.000Z,87,31,0.000,221.6
2024-08-12T15:01:15.000Z,,31,0.000,221.6
2024-08-12T15:01:16.000Z,87,31,0.000,221.6
2024-08-12T15:01:17.000Z,,31,0.000,221.6
2024-08-12T15:01:18.000Z,87,31,0.000,221.6
2024-08-12T15:01:19.000Z,,31,0.000,221.6
2024-08-12T15:01:20.000Z,88,31,0.000,221.6
2024-08-12T15:01:21.000Z,,31,0.000,221.6
2024-08-12T15:01:22.000Z,88,31,0.000,221.6
2024-08-12T15:01:23.000Z,,31,0.000,221.6
2024-08-12T15:01:24.000Z,87,31,0.000,221.6
2024-08-12T15:01:25.000Z,,31,0.000,221.6
2024-08-12T15:01:26.000Z,87,31,0.000,221.6
2024-08-12T15:01:27.000Z,,31,0.000,221.6
2024-08-12T15:01:28.000Z,88,31,0.000,221.6
2024-08-12T15:01:29.000Z,,31,0.000,221.6
2024-08-12T15:01:30.000Z,88,31,0.000,221.6
2024-08-12T15:01:31.000Z,,31,0.000,221.6
2024-08-12T15:01:32.000Z,88,31,0.000,221.6
2024-08-12T15:01:33.000Z,,31,0.000,221.6
2024-08-12T15:01:34.000Z,88,31,0.000,221.6
2024-08-12T15:01:35.000Z,,31,0.000,221.6
2024-08-12T15:01:36.000Z,88,31,0.000,221.6
2024-08-12T15:01:37.000Z,,31,0.000,221.6
2024-08-12T15:01:38.000Z,89,31,0.000,221.6
2024-08-12T15:01:39.000Z,,31,0.000,221.6
2024-08-12T15:01:40.000Z,88,31,0.000,221.6
2024-08-12T15:01:41.000Z,,31,0.000,221.6
2024-08-12T15:01:42.000Z,88,31,0.000,221.6
2024-08-12T15:01:43.000Z,,31,0.000,221.6
2024-08-12T15:01:44.000Z,88,31,0.000,221.6
2024-08-12T15:01:45.000Z,,31,0.000,221.6
2024-08-12T15:01:46.000Z,88,31,0.000,221.6
2024-08-12T15:01:47.000Z,,31,0.000,221.6
2024-08-12T15:01:48.000Z,90,31,0.000,221.6
2024-08-12T15:01:49.000Z,,31,0.000,221.6
2024-08-12T15:01:50.000Z,92,31,0.000,221.6
2024-08-12T15:01:51.000Z,,31,0.000,221.6
2024-08-12T15:01:52.000Z,93,31,0.000,221.6
2024-08-12T15:01:53.000Z,,31,0.000,221.6
2024-08-12T15:01:54.000Z,94,31,0.000,221.6
2024-08-12T15:01:55.000Z,,31,0.000,221.6
2024-08-12T15:01:56.000Z,95,31,0.000,221.6
2024-08-12T15:01:57.000Z,,31,0.000,221.6
2024-08-12T15:01:58.000Z,95,31,0.000,221.6
2024-08-12T15:01:59.000Z,,31,0.000,221.6
2024-08-12T15:02:00.000Z,94,31,0.000,221.6
2024-08-12T15:02:01.000Z,,31,0.000,221.6
2024-08-12T15:02:02.000Z,93,31,0.000,221.6
2024-08-12T15:02:03.000Z,,31,0.000,221.6
2024-08-12T15:02:04.000Z,92,31,0.000,221.6
2024-08-12T15:02:05.000Z,,31,0.000,221.6
2024-08-12T15:02:06.000Z,92,31,0.000,221.6
2024-08-12T15:02:07.000Z,,31,0.000,221.6
2024-08-12T15:02:08.000Z,91,31,0.000,221.6
2024-08-12T15:02:09.000Z,,31,0.000,221.6
2024-08-12T15:02:10.000Z,91,31,0.000,221.6
2024-08-12T15:02:11.000Z,,31,0.000,221.6
2024-08-12T15:02:12.000Z,91,31,0.000,221.6
2024-08-12T15:02:13.000Z,,31,0.000,221.6
2024-08-12T15:02:14.000Z,92,31,0.000,221.6
2024-08-12T15:02:15.000Z,,31,0.000,221.6
2024-08-12T15:02:16.000Z,92,31,0.000,221.6
2024-08-12T15:02:17.000Z,,31,0.000,221.6
2024-08-12T15:02:18.000Z,92,31,0.000,221.6
2024-08-12T15:02:19.000Z,,31,0.000,221.6
2024-08-12T15:02:20.000Z,92,31,0.000,221.6
2024-08-12T15:02:21.000Z,,31,0.000,221.6
2024-08-12T15:02:22.000Z,93,31,0.000,221.6
2024-08-12T15:02:23.000Z,,31,0.000,221.6
2024-08-12T15:02:24.000Z,93,31,0.000,221.6
2024-08-12T15:02:25.000Z,,31,0.000,221.6
2024-08-12T15:02:26.000Z,95,31,0.000,221.6
2024-08-12T15:02:27.000Z,,31,0.000,221.6
2024-08-12T15:02:28.000Z,97,31,0.000,221.6
2024-08-12T15:02:29.000Z,,31,0.000,221.6
2024-08-12T15:02:30.000Z,96,31,0.000,221.6
2024-08-12T15:02:31.000Z,,31,0.000,221.6
2024-08-12T15:02:32.000Z,96,31,0.000,221.6
2024-08-12T15:02:33.000Z,,31,0.000,221.6
2024-08-12T15:02:34.000Z,94,31,0.000,221.6
2024-08-12T15:02:35.000Z,,31,0.000,221.6
2024-08-12T15:02:36.000Z,94,31,0.000,221.6
2024-08-12T15:02:37.000Z,,31,0.000,221.6
2024-08-12T15:02:38.000Z,93,31,0.000,221.6
2024-08-12T15:02:39.000Z,,31,0.000,221.6
2024-08-12T15:02:40.000Z,91,31,0.000,221.6
2024-08-12T15:02:41.000Z,,31,0.000,221.6
2024-08-12T15:02:42.000Z,88,31,0.000,221.6
2024-08-12T15:02:43.000Z,,31,0.000,221.6
2024-08-12T15:02:44.000Z,85,31,0.000,221.6
2024-08-12T15:02:45.000Z,,31,0.000,221.6
2024-08-12T15:02:46.000Z,83,31,0.000,221.6
2024-08-12T15:02:47.000Z,,31,0.000,221.6
2024-08-12T15:02:48.000Z,83,31,0.000,221.6
2024-08-12T15:02:49.000Z,,31,0.000,221.6
2024-08-12T15:02:50.000Z,80,31,0.000,221.6
2024-08-12T15:02:51.000Z,,31,0.000,221.6
2024-08-12T15:02:52.000Z,81,31,0.000,221.6
2024-08-12T15:02:53.000Z,,31,0.000,221.6
2024-08-12T15:02:54.000Z,80,31,0.000,221.6
2024-08-12T15:02:55.000Z,,31,0.000,221.6
2024-08-12T15:02:56.000Z,79,31,0.000,221.6
2024-08-12T15:02:57.000Z,,31,0.000,221.6
2024-08-12T15:02:58.000Z,79,31,0.000,221.6
2024-08-12T15:02:59.000Z,,31,0.000,221.6
2024-08-12T15:03:00.000Z,80,31,0.000,221.6
2024-08-12T15:03:01.000Z,,31,0.000,221.6
2024-08-12T15:03:02.000Z,82,31,0.000,221.6
2024-08-12T15:03:03.000Z,,31,0.000,221.6
2024-08-12T15:03:04.000Z,80,31,0.000,221.6
2024-08-12T15:03:05.000Z,,31,0.000,221.6
2024-08-12T15:03:06.000Z,79,31,0.000,221.6
2024-08-12T15:03:07.000Z,,31,0.000,221.6
2024-08-12T15:03:08.000Z,79,31,0.000,221.6
2024-08-12T15:03:09.000Z,,31,0.000,221.6
2024-08-12T15:03:10.000Z,80,31,0.000,221.6
2024-08-12T15:03:11.000Z,,31,0.000,221.6
2024-08-12T15:03:12.000Z,81,31,0.000,221.6
2024-08-12T15:03:13.000Z,,31,0.000,221.6
2024-08-12T15:03:14.000Z,80,31,0.000,221.6
2024-08-12T15:03:15.000Z,,31,0.000,221.6
2024-08-12T15:03:16.000Z,81,31,0.000,221.6
2024-08-12T15:03:17.000Z,,31,0.000,221.6
2024-08-12T15:03:18.000Z,80,31,0.000,221.6
2024-08-12T15:03:19.000Z,,31,0.000,221.6
2024-08-12T15:03:20.000Z,81,31,0.000,221.6
2024-08-12T15:03:21.000Z,,31,0.000,221.6
2024-08-12T15:03:22.000Z,82,31,0.000,221.6
2024-08-12T15:03:23.000Z,,31,0.000,221.6
2024-08-12T15:03:24.000Z,82,31,0.000,221.6
2024-08-12T15:03:25.000Z,,31,0.000,221.6
2024-08-12T15:03:26.000Z,83,31,0.000,221.6
2024-08-12T15:03:27.000Z,,31,0.000,221.6
2024-08-12T15:03:28.000Z,84,31,0.000,221.6
2024-08-12T15:03:29.000Z,,31,0.000,221.6
2024-08-12T15:03:30.000Z,87,31,0.000,221.6
2024-08-12T15:03:31.000Z,,31,0.000,221.6
2024-08-12T15:03:32.000Z,87,31,0.000,221.6
2024-08-12T15:03:33.000Z,,31,0.000,221.6
2024-08-12T15:03:34.000Z,88,31,0.000,221.6
2024-08-12T15:03:35.000Z,,31,0.000,221.6
2024-08-12T15:03:36.000Z,87,31,0.000,221.6
2024-08-12T15:03:37.000Z,,31,0.000,221.6
2024-08-12T15:03:38.000Z,85,31,0.000,221.6
2024-08-12T15:03:39.000Z,,31,0.000,221.6
2024-08-12T15:03:40.000Z,84,31,0.000,221.6
2024-08-12T15:03:41.000Z,,31,0.000,221.6
2024-08-12T15:03:42.000Z,84,31,0.000,221.6
2024-08-12T15:03:43.000Z,,31,0.000,221.6
2024-08-12T15:03:44.000Z,82,31,0.000,221.6
2024-08-12T15:03:45.000Z,,31,0.000,221.6
2024-08-12T15:03:46.000Z,82,31,0.000,221.6
2024-08-12T15:03:47.000Z,,31,0.000,221.6
2024-08-12T15:03:48.000Z,82,31,0.000,221.6
2024-08-12T15:03:49.000Z,,31,0.000,221.6
2024-08-12T15:03:50.000Z,83,31,0.000,221.6
2024-08-12T15:03:51.000Z,,31,0.000,221.6
2024-08-12T15:03:52.000Z,83,31,0.000,221.6
2024-08-12T15:03:53.000Z,,31,0.000,221.6
2024-08-12T15:03:54.000Z,83,31,0.000,221.6
2024-08-12T15:03:55.000Z,,31,0.000,221.6
2024-08-12T15:03:56.000Z,84,31,0.000,221.6
2024-08-12T15:03:57.000Z,,31,0.000,221.6
2024-08-12T15:03:58.000Z,85,31,0.000,221.6
2024-08-12T15:03:59.000Z,,31,0.000,221.6
2024-08-12T15:04:00.000Z,86,31,0.000,221.6
2024-08-12T15:04:01.000Z,,31,0.000,221.6
2024-08-12T15:04:02.000Z,86,31,0.000,221.6
2024-08-12T15:04:03.000Z,,31,0.000,221.6
2024-08-12T15:04:04.000Z,86,31,0.000,221.6
2024-08-12T15:04:05.000Z,,31,0.000,221.6
2024-08-12T15:04:06.000Z,85,31,0.000,221.6
